##################################################
# Light Collector Dimensions
##################################################
# PMT             DIAMETER        6.5000 [cm]
# PMT             EXPOSURE HEIGHT 1.0000 [cm]
# LIGHT COLLECTOR DIAMETER        7.7000 [cm]
# LIGHT COLLECTOR EXPOSURE HEIGHT 6.0000 [cm]
##################################################
# Ind.     Z[m]        R[m]
#-------------------------------------------------
 0     0.000000    0.038423
 1     0.000606    0.038923
 2     0.001212    0.039423
 3     0.001818    0.039923
 4     0.002424    0.040423
 5     0.003030    0.040823
 6     0.003636    0.041323
 7     0.004242    0.041723
 8     0.004848    0.042223
 9     0.005455    0.042623
10     0.006061    0.043023
11     0.006667    0.043523
12     0.007273    0.043923
13     0.007879    0.044323
14     0.008485    0.044723
15     0.009091    0.045123
16     0.009697    0.045523
17     0.010303    0.045923
18     0.010909    0.046223
19     0.011515    0.046623
20     0.012121    0.047023
21     0.012727    0.047323
22     0.013333    0.047723
23     0.013939    0.048123
24     0.014545    0.048423
25     0.015152    0.048723
26     0.015758    0.049123
27     0.016364    0.049423
28     0.016970    0.049723
29     0.017576    0.050023
30     0.018182    0.050423
31     0.018788    0.050723
32     0.019394    0.051023
33     0.020000    0.051323
34     0.020606    0.051623
35     0.021212    0.051823
36     0.021818    0.052123
37     0.022424    0.052423
38     0.023030    0.052723
39     0.023636    0.053023
40     0.024242    0.053223
41     0.024848    0.053523
42     0.025455    0.053723
43     0.026061    0.054023
44     0.026667    0.054223
45     0.027273    0.054523
46     0.027879    0.054723
47     0.028485    0.054923
48     0.029091    0.055223
49     0.029697    0.055423
50     0.030303    0.055623
51     0.030909    0.055823
52     0.031515    0.056023
53     0.032121    0.056223
54     0.032727    0.056423
55     0.033333    0.056623
56     0.033939    0.056823
57     0.034545    0.057023
58     0.035152    0.057223
59     0.035758    0.057423
60     0.036364    0.057523
61     0.036970    0.057723
62     0.037576    0.057923
63     0.038182    0.058023
64     0.038788    0.058223
65     0.039394    0.058323
66     0.040000    0.058523
67     0.040606    0.058623
68     0.041212    0.058823
69     0.041818    0.058923
70     0.042424    0.059023
71     0.043030    0.059223
72     0.043636    0.059323
73     0.044242    0.059423
74     0.044848    0.059523
75     0.045455    0.059623
76     0.046061    0.059723
77     0.046667    0.059823
78     0.047273    0.059923
79     0.047879    0.060023
80     0.048485    0.060123
81     0.049091    0.060223
82     0.049697    0.060323
83     0.050303    0.060323
84     0.050909    0.060423
85     0.051515    0.060523
86     0.052121    0.060523
87     0.052727    0.060623
88     0.053333    0.060623
89     0.053939    0.060723
90     0.054545    0.060723
91     0.055152    0.060823
92     0.055758    0.060823
93     0.056364    0.060823
94     0.056970    0.060923
95     0.057576    0.060923
96     0.058182    0.060923
97     0.058788    0.060923
98     0.059394    0.060923
99     0.060000    0.060923
